country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Unemployment (% of labour force),Labour force participation (female/male pop. %),Urban population (% of total population),"Fertility rate, total (live births per woman)",Average life expectancy at birth,"Population age distribution (0-14 / 60+ years, %)",Infant mortality rate (per 1000 live births,CO2 emission estimates (million tons/tons per capita)
Cambodia,South-easternAsia,181035,16005,90.7,95.3,7,1158.7,28.2,29.4,42.3,0.3,75.6/87.0,20.7,2.7,67.55,31.3/7.1,29.9,178
Cameroon,MiddleAfrica,475650,24054,50.9,100.2,5.8,1217.3,22.7,28.3,49.1,4.6,71.1/81.2,54.4,5,56.4,42.7/4.8,67.5,408
Canada,NorthernAmerica,9984670,36624,4,98.5,0.9,43205.6,1.8,28.6,69.6,7.1,60.7/69.9,81.8,1.6,81.75,16.0/23.5,4.7,19276
Cayman Islands,Caribbean,264,62,256.5,100.4,0.7,62132,0.3,7.5,92.2,6.3,80.6/85.6,100,-99,-99,18.3/6.7,-99,-99
Central African Republic,MiddleAfrica,622984,4659,7.5,97.3,4.8,333.2,34.9,24.8,40.4,6.9,71.9/84.6,40,5.1,49.4,43.2/5.5,93.5,19
Chad,MiddleAfrica,1284000,14900,11.8,100.2,6.6,713,25.4,39,35.6,5.8,64.0/79.3,22.5,6.3,51.65,47.1/4.0,91.2,288
Chile,SouthAmerica,756102,18055,24.3,98.2,2.3,13416.2,3.9,32.8,63.3,6.8,50.7/74.7,89.5,1.8,78.75,20.3/16.0,7.4,540
"China, Hong Kong SAR",EasternAsia,1106,7365,7014.2,85.1,2.4,42431,0.1,7.2,92.7,3.5,52.6/67.8,100,1.2,83.45,11.5/23.5,1.6,-99
"China, Macao SAR",EasternAsia,30,623,20821.6,92.3,-20.3,78586.4,-99,6.6,93.4,3.2,65.6/76.4,100,1.2,83.25,13.3/16.1,3,2
China,EasternAsia,9600000,1409517,150.1,106.3,6.9,8109.1,9.2,41.1,49.7,4.6,63.0/77.7,55.6,1.6,75.7,17.7/16.2,11.6,101394
Colombia,SouthAmerica,1141748,49066,44.2,96.8,3.1,6056.1,6.8,34,59.2,10.5,58.0/79.8,76.4,1.9,73.8,23.5/11.6,17.9,5380
Comoros,EasternAfrica,2235,814,437.4,101.8,4.8,1368.9,30.7,4,65.3,20,35.7/79.5,28.3,4.6,62.85,39.8/4.9,58.1,3
Congo,MiddleAfrica,342000,5261,15.4,100.1,1.2,1838.1,4.7,70,25.3,11.5,67.1/72.6,65.4,4.9,62.55,42.3/5.2,46.5,648
Cook Islands,Polynesia,236,17,72.4,97.4,5.5,14118.7,8.1,9,82.9,8.2,65.4/76.6,74.5,2.6,75.65,26.9/14.2,3.6,-99
Costa Rica,CentralAmerica,51100,4906,96.1,100.1,3.7,11015,5.1,21.5,73.4,8.6,46.9/76.5,76.8,1.9,79.2,21.6/13.6,9.3,110
Croatia,SouthernEurope,56594,4189,74.9,93.1,1.6,11479.4,4.1,26.6,69.3,11.7,46.3/58.4,59,1.5,77,14.7/26.8,3.9,182
Cuba,Caribbean,109884,11485,107.9,100.1,4.4,7656.6,5,20.5,74.5,3,42.1/68.3,77.1,1.7,79.2,16.0/20.1,5.5,212
Cyprus,WesternAsia,9251,1180,127.7,100.2,1.7,21941.9,2.3,10.6,87.2,10.3,57.8/70.4,66.9,1.4,79.95,16.8/18.5,4.2,5
Czechia,EasternEurope,78868,10618,137.5,96.7,4.5,17561.7,2.5,37.8,59.7,3.9,51.3/67.8,73,1.5,78.15,15.4/25.6,2.5,1221
Democratic People's Republic of Korea,EasternAsia,120538,25491,211.7,95.7,-1.1,648,21.6,46.2,32.2,4.3,73.6/85.9,60.9,2,70.65,20.6/13.5,18.5,871
Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,99.6,7,486.2,19.9,44.2,35.9,3.6,70.4/71.8,42.5,6.4,58.1,46.3/4.7,73.2,1179
Denmark,NorthernEurope,42921,5734,135.1,99,1.6,53149.3,1.2,22.9,75.8,6,58.1/66.0,87.7,1.7,80.15,16.5/25.3,3.5,666
Djibouti,EasternAfrica,23200,957,41.3,100.7,6.5,1956.3,3.3,21.4,75.3,6.6,36.5/68.5,77.3,3.1,61.6,31.1/6.4,55.3,3
Dominica,Caribbean,750,74,98.6,103,-1.8,7051.1,15.4,13.2,71.5,-99,-99,69.5,-99,-99,-99,-99,0
Dominican Republic,Caribbean,48671,10767,222.8,99.2,7,6373.6,6.6,28,65.4,14.4,52.3/78.6,79,2.5,73.3,29.3/10.2,25.1,28
Ecuador,SouthAmerica,257217,16625,66.9,99.9,0.2,6205.1,10.1,34.1,55.8,5.8,49.1/79.9,63.7,2.6,75.6,28.4/10.5,21.1,1247
Egypt,NorthernAfrica,1002000,97553,98,102.3,4.2,3452.3,11.2,36.3,52.5,11.5,23.1/76.2,43.1,3.4,70.85,33.5/7.9,18.9,3509
